Quarter,Sell_Date,Ticker,Shares,Buy_Date,Buy_Price_USD,Sell_Price_USD,Holding_Days,Tax_Term,Tax_Rate_Pct,Estimated_Tax_USD,Gain_Loss_USD,Gain_Loss_Pct
2024Q1,2024-01-02,AMZN,7765.518978145597,2008-01-02,4.8125,149.92999267578125,5844,Long-Term,36.1,406815.4642799209,1126912.643434684,3015.4284192370133
2024Q1,2024-01-02,TSLA,2346.1348809127708,2013-07-01,7.811999797821045,248.4199981689453,3837,Long-Term,36.1,203784.0731554403,564498.8176050978,3079.9795775498565
2024Q1,2024-01-02,MSFT,340.69322861101864,2006-01-03,18.632081985473633,363.8014831542969,6573,Long-Term,36.1,42452.472850399725,117596.8777019383,1852.5541130504475
2024Q1,2024-01-02,MSFT,139.45862385290798,2007-07-02,21.08461570739746,363.8014831542969,6028,Long-Term,36.1,17253.930996621988,47794.82270532407,1625.4356835474998
2024Q1,2024-01-02,ASML,240.13452711406524,2022-01-03,763.8256225585938,702.0176391601562,729,Long-Term,36.1,-5358.045342358059,-14842.230865257783,-8.091897099680779
2024Q1,2024-01-02,INTC,2280.3404549102447,2000-01-03,24.71065330505371,47.16828536987305,8765,Long-Term,36.1,18487.187937721825,51211.046918897024,90.88238901488857
2024Q1,2024-01-02,NVDA,2198.6445294909367,2020-07-01,9.486056327819824,48.08253479003906,1280,Long-Term,36.1,30634.436978514885,84859.93622857309,406.87591479956825
2024Q1,2024-01-02,AVGO,981.9469342550826,2018-01-02,21.053340911865234,105.74687194824219,2191,Long-Term,36.1,30022.4036880193,83164.55315240804,402.2807182523958
2024Q1,2024-01-02,NFLX,1006.5814476613197,2018-07-02,39.81800079345703,46.849998474121094,2010,Long-Term,36.1,2555.2585043327485,7078.278405353874,17.66034843672908
2024Q1,2024-01-02,QCOM,237.32508406840842,1997-01-02,1.4760503768920898,133.1573028564453,9861,Long-Term,36.1,11281.706417694526,31251.264314943284,8921.18958411269
2024Q1,2024-01-02,SBUX,25.900364415756943,2000-01-03,2.273630142211914,87.84325408935547,8765,Long-Term,36.1,800.0786839772583,2216.2844431503,3763.5683288354307
